ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Condition,ConditionList,ConditionList.Cycle,ConditionList.Sample,Procedure[Block],Running[Block],Trial,A1,A2,A3,CVCCRESP,CVCRESP,CVXCRESP,EnglishBig,EnglishPlural,EnglishTest,EnglishWord,FakeCV,FakeCVC,FakeCVX,FakePlural,FakeWord,ItemNumber,Order1,Order3,Order5,PLURALCRESP,Procedure[Trial],Prompt,Prompt.CRESP,Prompt.Word,Running[Trial],StimDisplay.ACC,StimDisplay.CRESP,StimDisplay.DurationError,StimDisplay.OnsetDelay,StimDisplay.OnsetTime,StimDisplay.OnsetToOnsetTime,StimDisplay.RESP,StimDisplay.RT,StimDisplay.RTTime,TrialList1,TrialList1.Cycle,TrialList1.Sample
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,88,balnukabalnuka,balbalnuka,babalnuka,3,5,3,big key,keys,keys,key,babalnuka,balbalnuka,balbalnuka,balnukabalnuka,balnuka,41,5,3,1,1,TrialProc,Plural,1,balnukabalnuka,TrialList1,1,1,"-999,999",16,754797,0,1,5951,760748,41,1,88
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,89,hevhevupa,hevupahevupa,hehevupa,1,5,5,big wood,woods,woods,wood,hehevupa,hevhevupa,hehevupa,hevupahevupa,hevupa,75,3,5,1,3,TrialProc,Plural,3,hevupahevupa,TrialList1,1,3,"-999,999",16,763297,0,3,2572,765869,75,1,89
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,90,womhisawomhisa,wowomhisa,womwomhisa,5,3,5,big scale,scales,scales,scale,wowomhisa,womwomhisa,womwomhisa,womhisawomhisa,womhisa,70,5,1,3,1,TrialProc,Plural,1,womhisawomhisa,TrialList1,1,1,"-999,999",1,768398,0,1,1669,770067,70,1,90
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,91,tatakwilu,taktakwilu,takwilutakwilu,3,1,3,big shoe,shoes,shoes,shoe,tatakwilu,taktakwilu,taktakwilu,takwilutakwilu,takwilu,37,1,3,5,5,TrialProc,Plural,5,takwilutakwilu,TrialList1,1,5,"-999,999",1,772598,0,5,2772,775370,37,1,91
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,92,vekotavekota,vekvekota,vevekota,3,5,5,big circle,circles,big circle,circle,vevekota,vekvekota,vevekota,vekotavekota,vekota,77,5,3,1,1,TrialProc,Big,3,vekvekota,TrialList1,1,3,"-999,999",1,777898,0,3,4224,782122,77,1,92
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,93,tektekipa,tetekipa,tekipatekipa,1,3,3,big box,boxes,boxes,box,tetekipa,tektekipa,tetekipa,tekipatekipa,tekipa,56,3,1,5,5,TrialProc,Plural,5,tekipatekipa,TrialList1,1,5,"-999,999",16,784664,0,5,2847,787511,56,1,93
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,94,taksilutaksilu,tataksilu,taktaksilu,5,3,5,big blanket,blankets,big blanket,blanket,tataksilu,taktaksilu,taktaksilu,taksilutaksilu,taksilu,142,5,1,3,1,TrialProc,Big,5,taktaksilu,TrialList1,0,5,"-999,999",16,790064,0,3,5282,795346,142,1,94
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,95,pupukilu,pukilupukilu,pukpukilu,5,1,1,big belt,belts,big belt,belt,pupukilu,pukpukilu,pupukilu,pukilupukilu,pukilu,126,1,5,3,3,TrialProc,Big,5,pukpukilu,TrialList1,1,5,"-999,999",15,797881,0,5,5064,802945,126,1,95
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,96,kalkalhalu,kakalhalu,kalhalukalhalu,1,3,1,big case,cases,big case,case,kakalhalu,kalkalhalu,kalkalhalu,kalhalukalhalu,kalhalu,140,3,1,5,5,TrialProc,Big,1,kalkalhalu,TrialList1,1,1,"-999,999",1,805482,0,1,3862,809344,140,1,96
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,97,vemukuvemuku,vevemuku,vemvemuku,5,3,3,big chain,chains,big chain,chain,vevemuku,vemvemuku,vevemuku,vemukuvemuku,vemuku,118,5,1,3,1,TrialProc,Big,5,vemvemuku,TrialList1,1,5,"-999,999",1,811882,0,5,5709,817591,118,1,97
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,98,kutwipakutwipa,kutkutwipa,kukutwipa,3,5,3,big pig,pigs,pigs,pig,kukutwipa,kutkutwipa,kutkutwipa,kutwipakutwipa,kutwipa,59,5,3,1,1,TrialProc,Plural,1,kutwipakutwipa,TrialList1,1,1,"-999,999",1,820132,0,1,3688,823820,59,1,98
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,99,kumrulukumrulu,kukumrulu,kumkumrulu,5,3,5,big nut,nuts,big nut,nut,kukumrulu,kumkumrulu,kumkumrulu,kumrulukumrulu,kumrulu,130,5,1,3,1,TrialProc,Big,5,kumkumrulu,TrialList1,1,5,"-999,999",1,826366,0,5,4879,831245,130,1,99
FHList1June8,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3399940000</Frequency><Timestamp dt:dt=""r8"">1.23950508803048E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2012-09-18T22:28:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",FHList1June8-5-1,60.039,1.0.0.4,1,"-311,360,358",2.0.10.242,2.0.10.242,9/18/2012,,15:28:46,2.0.10.147,1,CVC,2,2,1,ListProc,ConditionList,100,hihimuku,himhimuku,himukuhimuku,3,1,1,big book,books,books,book,hihimuku,himhimuku,hihimuku,himukuhimuku,himuku,31,1,3,5,5,TrialProc,Plural,5,himukuhimuku,TrialList1,0,5,"-999,999",16,833798,0,3,3592,837390,31,1,100
